Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 616-SRP7/8RXE2 , Hu-Friedy , 616-SRP7/8RXE2 ,Curette Gracey #7/8 After-Five Rigid EE2 Harmony Handle,"  * Harmony™ Ergonomic handle, designed with TrueFit™ Technology, is your truly ergonomic hand scaling solution scientifically proven to reduce pinch force up to 65% and the amount of pressure applied to the tooth up to 37%.
  * Knowing nearly 70% of RDHs experience hand, wrist, and/or arm pain, HuFriedy Group proactively developed an innovative and truly ergonomic hand scaling solution. Building off the success of EverEdge 2.0, the NEW Harmony Ergonomic Scalers and Curettes designed with TrueFit Technology are the latest addition to the best-in-class hand instrument portfolio.

", Supplies ,Instruments,,,https://www.dcdental.com/Harmony-Ergonomic-Scalers-SRP7-8RXE2,https://www.dcdental.com/images/346482130089.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-S630 , Parkell , 685-S630 ,Predicta Bioactive Cement Kit Translucent,"Predicta® Bioactive Cement fills and seals microgaps with robust
hydroxyapatite formation at the margin, and thereby alleviates or prevents
microleakage, which is otherwise associated with recurrent decay.* By
combining all the properties and performance benefits of premium universal
resin cements with bioactivity, Parkell proudly offers a cement that gives
crown margins unprecedented protection against secondary caries. It is
indicated for luting crowns, bridges, inlays, onlays and posts (prefabricated
metal/non-metal/fiber posts).  
  
The Bioactive Benefit:

  * As a result of Predicta® Cement’s bioactivity and continuous release and recharge of beneficial ions, Predicta® forms a dense layer of hydroxyapatite across microgaps, which, in turn, protects crown margins from the harsh elements present in the oral cavity.

", Supplies ,Cements & Liners,,,https://www.dcdental.com/Predicta-Bioactive-Cement-S630,https://www.dcdental.com/images/233307537546.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-S631 , Parkell , 685-S631 ,Predicta Bioactive Cement Kit A2,"Predicta® Bioactive Cement fills and seals microgaps with robust
hydroxyapatite formation at the margin, and thereby alleviates or prevents
microleakage, which is otherwise associated with recurrent decay.* By
combining all the properties and performance benefits of premium universal
resin cements with bioactivity, Parkell proudly offers a cement that gives
crown margins unprecedented protection against secondary caries. It is
indicated for luting crowns, bridges, inlays, onlays and posts (prefabricated
metal/non-metal/fiber posts).  
  
The Bioactive Benefit:

  * As a result of Predicta® Cement’s bioactivity and continuous release and recharge of beneficial ions, Predicta® forms a dense layer of hydroxyapatite across microgaps, which, in turn, protects crown margins from the harsh elements present in the oral cavity.

", Supplies ,Cements & Liners,,,https://www.dcdental.com/Predicta-Bioactive-Cement-S631,https://www.dcdental.com/images/231580688665.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 454-ANPPK , Avalon Biomed , 454-ANPPK ,NeoPUTTY Professional Kit 1.2gm Syringe,"NuSmile NeoPUTTY is a premixed bioactive bioceramic MTA that triggers
hydroxyapatite and supports healing using the same tri and dicalcium silicate
powders as NeoMTA 2. Its firm, non-tacky consistency, wash-out resistance and
bioactivity make it pediatric dentists' preferred material for every pulp
need. NeoPUTTY delivers a ready-to-use material for immediate placement with
zero waste, saving cost and chair time.

", Supplies ,Endodontics,,,https://www.dcdental.com/NeoPUTTY-ANPPK,https://www.dcdental.com/images/212208014639.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-13117 , Gingi-Pak Pharmaceutical , 208-13117 ,Stasis Hemostatic Gel Syringe 30mL,"Stasis is one of the most effective and safest topical hemostyptic agents.
Stasis delivers rapid hemostasis by the formation of coagulate plugs within
the capillary orifices without potential cardiovascular side effects. The
brush tip is designed to place hemostatic agents precisely and removes
superficial coagulum. The curved and blunt cannula provides optimal visibility
for hemostatic gel delivery. Padded-end brush tip gives great flow controls.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/Stasis-Hemostatic-Gel-13117,https://www.dcdental.com/images/267846374331.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 454-ANSSK , Avalon Biomed , 454-ANSSK ,NeoSEALER Flo Starter Kit 2.2gm Syringe,"NeoSEALER® Flo has a higher bioactive cement content than other bioceramic
sealers to provide superior bioactivity and promote the setting process. You
can now customize your order with the option of choosing from three different
tips based on your preference to perform ENDO YOUR WAY.

  * Flex Flo Tip
  * Basic Flex Tip (coming soon)
  * Flo Tip

", Supplies ,Endodontics,,,https://www.dcdental.com/NeoSEALER-Flo-ANSSK,https://www.dcdental.com/images/405265144665.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12116 , Gingi-Pak Pharmaceutical , 208-12116 ,Gingi-Aid Hemostatic Gel Syringe 1.2mL x 4,"Gingi-Aid in Syringe contains 25% Buffered Aluminum Chloride gel. Its viscous
gel stays in place where it is directly delivered in the mouth. Gingi-Aid in
Syringe controls bleeding with no residue or stain, which is good in the
esthetic zone. It is used for sulcus retraction before impression making and
to control capillary bleeding and gingival oozing in restorative and operative
procedures used with gingival retraction cord and / or applicator tips.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/Gingi-Aid-Hemostatic-Gel-12116,https://www.dcdental.com/images/312572606710.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 454-ANSPCK , Avalon Biomed , 454-ANSPCK ,NeoPUTTY/NeoSEALER Flo Combo Kit,"Complete your armamentarium with our bioactive bioceramic Combo Kit solution
for 13 vital pulp and endodontic uses. The Combo Kit solution includes a 2.2
gm NeoSEALER Flo syringe (with 20 Flex Flo Tips) and a 0.65 gm NeoPUTTY.  
  
Features & Benefits

  * Comprehensive bioactive bioceramic solution kit
  * Readily available kit for 13 essential indications
  * Streamline ordering process and save more money

", Supplies ,Endodontics,,,https://www.dcdental.com/NeoSEALER-Flo-NeoPUTTY-Combo-Kit-ANSPCK,https://www.dcdental.com/images/255652422032.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12115 , Gingi-Pak Pharmaceutical , 208-12115 ,Gingi-Aid Hemostatic Solution 40mL,"Gingi-Aid in Syringe contains 25% Buffered Aluminum Chloride gel. Its viscous
gel stays in place where it is directly delivered in the mouth. Gingi-Aid in
Syringe controls bleeding with no residue or stain, which is good in the
esthetic zone. It is used for sulcus retraction before impression making and
to control capillary bleeding and gingival oozing in restorative and operative
procedures used with gingival retraction cord and / or applicator tips.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/Gingi-Aid-Hemostatic-Gel-12115,https://www.dcdental.com/images/746314761601.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 454-ANSPK , Avalon Biomed , 454-ANSPK ,NeoSEALER Flo Professional Kit 2.2gm Syringe x 2,"NeoSEALER® Flo has a higher bioactive cement content than other bioceramic
sealers to provide superior bioactivity and promote the setting process. You
can now customize your order with the option of choosing from three different
tips based on your preference to perform ENDO YOUR WAY.

  * Flex Flo Tip
  * Basic Flex Tip (coming soon)
  * Flo Tip

", Supplies ,Endodontics,,,https://www.dcdental.com/NeoSEALER-Flo-ANSPK,https://www.dcdental.com/images/720242148857.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-13116 , Gingi-Pak Pharmaceutical , 208-13116 ,Stasis Hemostatic Gel Syringe 1.2mL x 4,"Stasis is one of the most effective and safest topical hemostyptic agents.
Stasis delivers rapid hemostasis by the formation of coagulate plugs within
the capillary orifices without potential cardiovascular side effects. The
brush tip is designed to place hemostatic agents precisely and removes
superficial coagulum. The curved and blunt cannula provides optimal visibility
for hemostatic gel delivery. Padded-end brush tip gives great flow controls.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/Stasis-Hemostatic-Gel-13116,https://www.dcdental.com/images/258663438726.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12180 , Gingi-Pak Pharmaceutical , 208-12180 ,GINGIPaste Retraction Paste Unit Dose Intro Pack 0.25gm x 24,"  * GINGIPaste is a hemostatic retraction paste containing 15% Aluminum Chloride and has an astringent effect on the gingiva. The paste is used for temporary gingival retraction and hemostasis during dental procedures such as taking an impression, cementation and cavity preparation.
  * GINGIPaste is available in syringe with bendable intra-oral tips for precise delivery and unit dose. The included retraction caps allow
  * GINGIPaste to provide quick and easy tissue retraction for any crown and bridge impression by facilitating sulcus injection to create gentle and effective gingival retraction. Use the cap within 2 minutes of biting pressure to fasten hemostasis while the cotton cap absorbs any excess fluid in the sulcus. GINGIPaste can also be used with retraction cords.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/GINGIPaste-Retraction-Paste-12180,https://www.dcdental.com/images/467485023106.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12181 , Gingi-Pak Pharmaceutical , 208-12181 ,GINGIPaste Retraction Paste Unit Dose Pack 0.25gm x 24,"  * GINGIPaste is a hemostatic retraction paste containing 15% Aluminum Chloride and has an astringent effect on the gingiva. The paste is used for temporary gingival retraction and hemostasis during dental procedures such as taking an impression, cementation and cavity preparation.
  * GINGIPaste is available in syringe with bendable intra-oral tips for precise delivery and unit dose. The included retraction caps allow GINGIPaste to provide quick and easy tissue retraction for any crown and bridge impression by facilitating sulcus injection to create gentle and effective gingival retraction.
  * Use the cap within 2 minutes of biting pressure to fasten hemostasis while the cotton cap absorbs any excess fluid in the sulcus. GINGIPaste can also be used with retraction cords.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/GINGIPaste-Retraction-Paste-12181,https://www.dcdental.com/images/426601830714.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12182 , Gingi-Pak Pharmaceutical , 208-12182 ,GINGIPaste Retraction Paste Syringe Pack 0.7g x 7,"  * GINGIPaste is a hemostatic retraction paste containing 15% Aluminum Chloride and has an astringent effect on the gingiva. The paste is used for temporary gingival retraction and hemostasis during dental procedures such as taking an impression, cementation and cavity preparation.
  * GINGIPaste is available in syringe with bendable intra-oral tips for precise delivery and unit dose. The included retraction caps allow GINGIPaste to provide quick and easy tissue retraction for any crown and bridge impression by facilitating sulcus injection to create gentle and effective gingival retraction.
  * Use the cap within 2 minutes of biting pressure to fasten hemostasis while the cotton cap absorbs any excess fluid in the sulcus. GINGIPaste can also be used with retraction cords.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/GINGIPaste-Retraction-Paste-12182,https://www.dcdental.com/images/616214357368.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12183 , Gingi-Pak Pharmaceutical , 208-12183 ,GINGIPaste Retraction Paste Dispensing Gun,"  * GINGIPaste Retraction Paste Dispensing Gun
  * GINGIPaste is a hemostatic retraction paste containing 15% Aluminum Chloride and has an astringent effect on the gingiva. The paste is used for temporary gingival retraction and hemostasis during dental procedures such as taking an impression, cementation and cavity preparation.
  * GINGIPaste is available in syringe with bendable intra-oral tips for precise delivery and unit dose. The included retraction caps allow GINGIPaste to provide quick and easy tissue retraction for any crown and bridge impression by facilitating sulcus injection to create gentle and effective gingival retraction.
  * Use the cap within 2 minutes of biting pressure to fasten hemostasis while the cotton cap absorbs any excess fluid in the sulcus. GINGIPaste can also be used with retraction cords.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/GINGIPaste-Retraction-Paste-12183,https://www.dcdental.com/images/683785252873.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12184 , Gingi-Pak Pharmaceutical , 208-12184 ,GINGIPaste Retraction Paste Syringe Dispensing Tips 50/Pk,"GINGIPaste is a hemostatic retraction paste containing 15% Aluminum Chloride
and has an astringent effect on the gingiva. The paste is used for temporary
gingival retraction and hemostasis during dental procedures such as taking an
impression, cementation and cavity preparation. GINGIPaste is available in
syringe with bendable intra-oral tips for precise delivery and unit dose. The
included retraction caps allow GINGIPaste to provide quick and easy tissue
retraction for any crown and bridge impression by facilitating sulcus
injection to create gentle and effective gingival retraction. Use the cap
within 2 minutes of biting pressure to fasten hemostasis while the cotton cap
absorbs any excess fluid in the sulcus. GINGIPaste can also be used with
retraction cords.

", Supplies ,Retraction Materials,Pk,50,https://www.dcdental.com/GINGIPaste-Retraction-Paste-12184,https://www.dcdental.com/images/168585220029.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-104 , Gingi-Pak Pharmaceutical , 208-305-104 ,Kromatica Alginate 1lb/Pouch x 10 Fast Set Unflavored,"The color change of Kromatica alginate offers a visual guide for consistent
impression making. The strength and physical characteristics of Kromatica help
to assure an easy to mix material that produces a surface of smoothness.
Kromatica shows a high detail reproduction. It is an essential requirement to
create accurate models that improve the realization of the prosthesis mode.
Kromatica alginate is available in fast set and regular set.

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-104,https://www.dcdental.com/images/483880628715.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-101 , Gingi-Pak Pharmaceutical , 208-305-101 ,Kromatica Alginate 1lb/Pouch x 10 Fast Set Cherry,"The color change of Kromatica alginate offers a visual guide for consistent
impression making. The strength and physical characteristics of Kromatica help
to assure an easy to mix material that produces a surface of smoothness.
Kromatica shows a high detail reproduction. It is an essential requirement to
create accurate models that improve the realization of the prosthesis mode.
Kromatica alginate is available in fast set and regular set.

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-101,https://www.dcdental.com/images/188815577648.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-105 , Gingi-Pak Pharmaceutical , 208-305-105 ,Kromatica Alginate 1lb/Pouch x 10 Normal Set Cherry,"The color change of Kromatica alginate offers a visual guide for consistent
impression making. The strength and physical characteristics of Kromatica help
to assure an easy to mix material that produces a surface of smoothness.
Kromatica shows a high detail reproduction. It is an essential requirement to
create accurate models that improve the realization of the prosthesis mode.
Kromatica alginate is available in fast set and regular set.

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-105,https://www.dcdental.com/images/642204058137.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-103 , Gingi-Pak Pharmaceutical , 208-305-103 ,Kromatica Alginate 1lb/Pouch x 10 Fast Set Bubblegum,"The color change of Kromatica alginate offers a visual guide for consistent
impression making. The strength and physical characteristics of Kromatica help
to assure an easy to mix material that produces a surface of smoothness.
Kromatica shows a high detail reproduction. It is an essential requirement to
create accurate models that improve the realization of the prosthesis mode.
Kromatica alginate is available in fast set and regular set.

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-103,https://www.dcdental.com/images/383721556620.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-106 , Gingi-Pak Pharmaceutical , 208-305-106 ,Kromatica Alginate 1lb/Pouch x 10 Normal Set Mint,"  * The color change of Kromatica alginate offers a visual guide for consistent impression making. The strength and physical characteristics of Kromatica help to assure an easy to mix material that produces a surface of smoothness. Kromatica shows a high detail reproduction. It is an essential requirement to create accurate models that improve the realization of the prosthesis mode. Kromatica alginate is available in fast set and regular set.
  * Normal Set
  * Mint Flavor

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-106,https://www.dcdental.com/images/604074110438.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-12117 , Gingi-Pak Pharmaceutical , 208-12117 ,Gingi-Aid Hemostaitc Gel Syringe 30mL,"Gingi-Aid in Syringe contains 25% Buffered Aluminum Chloride gel. Its viscous
gel stays in place where it is directly delivered in the mouth. Gingi-Aid in
Syringe controls bleeding with no residue or stain, which is good in the
esthetic zone. It is used for sulcus retraction before impression making and
to control capillary bleeding and gingival oozing in restorative and operative
procedures used with gingival retraction cord and / or applicator tips.

", Supplies ,Retraction Materials,,,https://www.dcdental.com/Gingi-Aid-Hemostatic-Gel-12117,https://www.dcdental.com/images/627202440672.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D660 , Parkell , 685-D660 ,TurboSensor Plus Ultrasonic Scaler Pearl,"TurboSensor+ ultrasonic scaler combines the reliability and performance of its
trusted predecessor, the TurboSensor, with exciting new features that enhance
the scaling experience in today’s demanding work environment. IntelliSense
processor ensures top-level, consistent performance with all market-leading
30K inserts. New detachable, autoclavable 30K handpiece for enhanced
instrument reprocessing. New colors to complement the style and personality of
every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D660,https://www.dcdental.com/images/724667604783.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-107 , Gingi-Pak Pharmaceutical , 208-305-107 ,Kromatica Alginate 1lb/Pouch x 10 Normal Set Bubblegum,"  * The color change of Kromatica alginate offers a visual guide for consistent impression making. The strength and physical characteristics of Kromatica help to assure an easy to mix material that produces a surface of smoothness. Kromatica shows a high detail reproduction. It is an essential requirement to create accurate models that improve the realization of the prosthesis mode. Kromatica alginate is available in fast set and regular set.
  * Normal Set
  * Bubblegum Flavor

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-107,https://www.dcdental.com/images/355074533450.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 208-305-108 , Gingi-Pak Pharmaceutical , 208-305-108 ,Kromatica Alginate 1lb/Pouch x 10 Normal Set Unflavored,"  * The color change of Kromatica alginate offers a visual guide for consistent impression making. The strength and physical characteristics of Kromatica help to assure an easy to mix material that produces a surface of smoothness. Kromatica shows a high detail reproduction. It is an essential requirement to create accurate models that improve the realization of the prosthesis mode. Kromatica alginate is available in fast set and regular set.
  * Normal Set
  * Unflavored

", Supplies ,Impression Material,,,https://www.dcdental.com/Kromatica-Alginate-305-108,https://www.dcdental.com/images/602436365038.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D660-O , Parkell , 685-D660-O ,TurboSensor Plus Ultrasonic Scaler Tangerine,"TurboSensor+ ultrasonic scaler combines the reliability and performance of its
trusted predecessor, the TurboSensor, with exciting new features that enhance
the scaling experience in today’s demanding work environment. IntelliSense
processor ensures top-level, consistent performance with all market-leading
30K inserts. New detachable, autoclavable 30K handpiece for enhanced
instrument reprocessing. New colors to complement the style and personality of
every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D660-O,https://www.dcdental.com/images/208027141014.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D660-N , Parkell , 685-D660-N ,TurboSensor Plus Ultrasonic Scaler Midnight Blue,"TurboSensor+ ultrasonic scaler combines the reliability and performance of its
trusted predecessor, the TurboSensor, with exciting new features that enhance
the scaling experience in today’s demanding work environment. IntelliSense
processor ensures top-level, consistent performance with all market-leading
30K inserts. New detachable, autoclavable 30K handpiece for enhanced
instrument reprocessing. New colors to complement the style and personality of
every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D660-N,https://www.dcdental.com/images/488881722851.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D660-B , Parkell , 685-D660-B ,TurboSensor Plus Ultrasonic Scaler Electric Blue,"TurboSensor+ ultrasonic scaler combines the reliability and performance of its
trusted predecessor, the TurboSensor, with exciting new features that enhance
the scaling experience in today’s demanding work environment. IntelliSense
processor ensures top-level, consistent performance with all market-leading
30K inserts. New detachable, autoclavable 30K handpiece for enhanced
instrument reprocessing. New colors to complement the style and personality of
every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D660-B,https://www.dcdental.com/images/728147188602.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D660-P , Parkell , 685-D660-P ,TurboSensor Plus Ultrasonic Scaler Lilac,"TurboSensor+ ultrasonic scaler combines the reliability and performance of its
trusted predecessor, the TurboSensor, with exciting new features that enhance
the scaling experience in today’s demanding work environment. IntelliSense
processor ensures top-level, consistent performance with all market-leading
30K inserts. New detachable, autoclavable 30K handpiece for enhanced
instrument reprocessing. New colors to complement the style and personality of
every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D660-P,https://www.dcdental.com/images/557558472778.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D722 , Parkell , 685-D722 ,TurboSensor Plus Detachable Autoclavable 30K Handpiece,"  * TurboSensor Plus Detachable Autoclavable 30K Handpiece
  * TurboSensor+ ultrasonic scaler combines the reliability and performance of its trusted predecessor, the TurboSensor, with exciting new features that enhance the scaling experience in today’s demanding work environment. IntelliSense processor ensures top-level, consistent performance with all market-leading 30K inserts. New detachable, autoclavable 30K handpiece for enhanced instrument reprocessing. New colors to complement the style and personality of every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D722,https://www.dcdental.com/images/545837133144.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D418 , Parkell , 685-D418 ,TurboSensor Plus Water Filter Assembly Kit,"  * Includes 2 filter disks, 2 clear plastic ferrules, 1 white female connector and 1 white male connector.
  * TurboSensor+ ultrasonic scaler combines the reliability and performance of its trusted predecessor, the TurboSensor, with exciting new features that enhance the scaling experience in today’s demanding work environment. IntelliSense processor ensures top-level, consistent performance with all market-leading 30K inserts. New detachable, autoclavable 30K handpiece for enhanced instrument reprocessing. New colors to complement the style and personality of every office and new tap-on purge functionality for waterline cleansing.

", Supplies ,Preventives,,,https://www.dcdental.com/TurboSensor-Ultrasonic-Scaler-D418,https://www.dcdental.com/images/167506123500.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 212-0508MS , Microcopy , 212-0508MS ,Neo Diamonds FG 0508MS Pear 25/PK,"Neo Diamonds FG 0508MS Pear 25/PK

  * Reference: F/G S830-008
  * Head Diameter: 0.8 mm
  * Head Length: 1.6 mm
  * Overall Length: Short
  * Shank: 16.1 mm

", Supplies ,Burs & Diamonds,PK,25,https://www.dcdental.com/Neo-Diamond-0110-to-0918-0508MS,https://www.dcdental.com/images/701484601768.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 865-P903 , Kerr Rotary , 865-P903 ,Zir-Cut Polisher RA Pre-Polishing Disc 3/Pk,"Zirconia Polishers for Monolithic Restorations. The Zir-Cut polisher utilizes
a unique diamond abrasive mixture to bring zirconia materials to a high shine.
This two step system removes scratches, smoothes rough surfaces, and creates a
high gloss surface on all zirconia crowns, bridges, substructures and
abutments.

", Supplies ,Finishing & Polishing,Pk,3,https://www.dcdental.com/Zir-Cut-Polishers-P903,https://www.dcdental.com/images/605313316079.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-UI30SFXT , Hu-Friedy , 616-UI30SFXT ,Streamline Direct Flow 30K XT,"Streamline™ Direct Flow™XT Insert. Long, ultra thin shank tapering to a very
thin tip allows access to narrow, deep pockets, furcations, developmental
concavities and tight areas between teeth. Tip is round in cross-section.
Direct Flow™water delivery allows water to exit near the tip, focusing water
flow directly on the tip while reducing excess spray and increasing
visibility. For use on light to moderate deposits. Use on low to medium power.
Ideal paired with the #10 or #1000 inserts. Ergonomic, wide diameter purple
resin handle. Color-coded for at-a-glance tip identification.

", Supplies ,Preventives,,,https://www.dcdental.com/Ultrasonic-Inserts-UI30SFXT,https://www.dcdental.com/images/322368200534.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-NXT-HG5-MINIRPL , Solmetex , 517-NXT-HG5-MINIRPL ,NXT Hg5/Hg5 Mini Amalgam Separator Replacement Upgrade,"Accommodates up to 10 operatories, Dimensions 29.5""H x 10""W x 8""D, 1.5"" inlet
and outlet piping, Fernco couplers for easy install, Floor/wall mount brackets
provided.

", Supplies ,Alloys,Hg,5,https://www.dcdental.com/HG5-Amalgam-Seperator-NXT-HG5-MINIRPL,https://www.dcdental.com/images/784724474308.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-69R , A Titan , 809-69R ,Suction Elevator Right,"69R Suction Elevator allows you to hook up your suction tip and clear an area
& extact a root fragment at the same time. Should be purchased with the 69L,
the lightweight handle is made from 4 parts with no seams, which prevents
leaking or tip from caving into the handle. Made in Germany from 100% German
stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/Elevators-69R,https://www.dcdental.com/images/817115604012.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-69L , A Titan , 809-69L ,Suction Elevator Left,"69L Suction Elevator allows you to hook up your suction tip and clear an area
& extact a root fragment at the same time. Should be purchased with the 69R,
the lightweight handle is made from 4 parts with no seams, which prevents
leaking or tip from caving into the handle. Made in Germany from 100% German
stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/Elevators-69L,https://www.dcdental.com/images/166810832702.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 158-1009.3620 , Kavo , 158-1009.3620 ,KaVo MASTERmatic LUX M20 L,"  * KaVo MASTERmatic™ LUX M20 Low-speed handpiece allows for optimal access and maximum precision for all procedures and easily integrates with KaVo's INTRA™ LUX heads.
  * Simple and quick
  * Easily integrate with KaVo INTRA LUX heads

", Supplies ,Handpieces,,,https://www.dcdental.com/MASTERmatic-1009.362,https://www.dcdental.com/images/701477812379.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 455-CR3275 ," Cranberry USA, Inc. ", 455-CR3275 ,Cranberry RevoSoft Nitrile Gloves 300/Pk X-Small,"RevoSoft formulation for increased comfort, softness, and fit. Enhanced
fingertip texture for superior handling and increased control. Ultra 300 Saver
Pack reduces storage space and packaging waste.

", Supplies ,Infection Control,Pk X-Small,300,https://www.dcdental.com/Cranberry-RevoSoft-Nitrile-CR3275,https://www.dcdental.com/images/643656157478.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 455-CR3276 ," Cranberry USA, Inc. ", 455-CR3276 ,Cranberry RevoSoft Nitrile Gloves 300/Pk Small,"RevoSoft formulation for increased comfort, softness, and fit. Enhanced
fingertip texture for superior handling and increased control. Ultra 300 Saver
Pack reduces storage space and packaging waste.

", Supplies ,Infection Control,Pk Small,300,https://www.dcdental.com/Cranberry-RevoSoft-Nitrile-CR3276,https://www.dcdental.com/images/535473806359.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 455-CR3277 ," Cranberry USA, Inc. ", 455-CR3277 ,Cranberry RevoSoft Nitrile Gloves 300/Pk Medium,"RevoSoft formulation for increased comfort, softness, and fit. Enhanced
fingertip texture for superior handling and increased control. Ultra 300 Saver
Pack reduces storage space and packaging waste.

", Supplies ,Infection Control,Pk Medium,300,https://www.dcdental.com/Cranberry-RevoSoft-Nitrile-CR3277,https://www.dcdental.com/images/687802077746.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 999-PR1048 , House Brand , 999-PR1048 ,Adult Battery Toothbrush,"Adult Battery Toothbrush

", Supplies ,Preventives,,,https://www.dcdental.com/Adult-Battery-Toothbrush,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 455-CR3278 ," Cranberry USA, Inc. ", 455-CR3278 ,Cranberry RevoSoft Nitrile Gloves 300/Pk Large,"RevoSoft formulation for increased comfort, softness, and fit. Enhanced
fingertip texture for superior handling and increased control. Ultra 300 Saver
Pack reduces storage space and packaging waste.

", Supplies ,Infection Control,Pk Large,300,https://www.dcdental.com/Cranberry-RevoSoft-Nitrile-CR3278,https://www.dcdental.com/images/351633682720.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 159-9601535 , Keystone , 159-9601535 ,Extra-Pro Laminates .200 Yellow 12/Pk,"Keystone Industries now manufactures a triple layered, extra thick (.200)
laminated material for mouthguards. Made for optimum protection for athletes
like pros, colleges and varsity high school players. If you need extra bulk
and protection, you might want to try our triple-layered Extra-Pro Laminate.

", Supplies ,Laboratory Products,Pk,12,https://www.dcdental.com/Extra-Pro-Laminates-9601535,https://www.dcdental.com/images/510680145309.01.png?resizeid=2&resizeh=600&resizew=600
